nft_address,block,from_addr,to_addr,token_id,tx_hash,value,timestamp,usd_value,eth_value,exchange,txn_hash_idx
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792517,0x0000000000000000000000000000000000000000,0x207f2830d7d22f9f1d892eb70d69114d22aadcd5,5254,0x1e4804081de9bc137b18323a00b59dd7c71f34e62378bf08989ec4689fa29734,0.1,1639340853,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792519,0x4f9e7fd4762be0ead8d5aa9706090f6d5e2c4e26,0xd9e77b9dc0095f45273a49442fdc49513f2e062d,4763,0x91d879e3019a461905383c67977faa0d0916d30917595ea1e1429e4f0c8a8592,0.177,1639340885,736.92,0.177,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792521,0x8c8efa9f6f225b6e1370cc67e888965f51c39f24,0x3b8a0fe02e7996fd506edefb16f44a5918750ce9,3568,0x22aa31ffd89911ad1587a43e50bdabe2eab9bce55ff19479a4d2931c1979ac5a,0.1738,1639340916,723.59,0.1738,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792622,0x188b41639312e2f17e849081d670fd930d44a655,0x54489a3d085b1501573651095a3138f8cf207730,5251,0x90cc949664dc1f2b64c9dcceafca86fa0e62e1514ee20c6dd9b7bc6da7e192eb,0.178,1639342261,739.38,0.178,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792623,0xd146a4f01517e3b8eda88e277ae5e9a1469bd2cc,0x54489a3d085b1501573651095a3138f8cf207730,5255,0xb5bce755e49ec4fdacbfd897ba55c837f39957890f69dfe13000d8b3a13a49b3,0.1799,1639342300,747.27,0.1799,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792525,0xaff5fe69f2d1e71be5e07299232397127072cf35,0x39d1cd2f19199f1b0b690b9a426ac299cfc392bf,5158,0xb019ba9df58e7323a2c53fee3ee9d8b480f487cd9a86c9d42e63a0305735ded8,0.1759,1639340966,732.34,0.1759,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792706,0xb7dc8026a966b20142846b46acae0e7b0bd6d110,0xdd97f684b743295d4fa388ab71ce65e0da46fb72,5232,0x07e85c1f147260ec47655f97b0a03554c2679aceb04d39f3d14e8da5388734d1,0,1639343368,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792624,0x0000000000000000000000000000000000000000,0x72cfed2398cf47b7cdbe4ac80a50f8382b932c9c,5276,0x13c1f388ac9b7fe4ad7f6e09041703e5a57d62f4ef9d66adf7cfdc74362727f0,0.2,1639342318,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792624,0x0000000000000000000000000000000000000000,0x72cfed2398cf47b7cdbe4ac80a50f8382b932c9c,5277,0x13c1f388ac9b7fe4ad7f6e09041703e5a57d62f4ef9d66adf7cfdc74362727f0,0.2,1639342318,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792625,0xbeea6e8120ebab51e5b58e66c565bc921e30e50b,0x54489a3d085b1501573651095a3138f8cf207730,3115,0xd40a7391fda7965dfca4c8511e12197caaf0ade5029e74f7e6ee41e09a27edf6,0.18,1639342331,747.69,0.18,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792627,0x0000000000000000000000000000000000000000,0x41c4f5961fd3123944883b6796e61b0120327cc5,5278,0xf4a4de52080cd05e045d2ab729675bf88bb46de023ee0d1d32903e509e995641,0.2,1639342348,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792627,0x0000000000000000000000000000000000000000,0x41c4f5961fd3123944883b6796e61b0120327cc5,5279,0xf4a4de52080cd05e045d2ab729675bf88bb46de023ee0d1d32903e509e995641,0.2,1639342348,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792682,0x303c36e5c473bf36bf643debeb61c68f780641aa,0x6b7aa3dbeee4b9ce76a007e01dfa64fb1e298f99,4873,0xb9d663ae727410f8ffcc0c4014f0a61cb119961e183a65af85a1dd364dabac96,0.1745,1639343040,723.49,0.1745,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792630,0x458aa8eb5d673d6f9bae964af2c25d64f4a19878,0x54489a3d085b1501573651095a3138f8cf207730,5261,0xcd95ef190a4f3565dfaadde6469c2246685f3ac659849af50763b6671d9386ff,0.1748,1639342363,726.09,0.1748,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792630,0x0000000000000000000000000000000000000000,0x83257179db18540f3002542e0e45978bfe72e7c8,5280,0xf2c3beee100ed3771fcd90d5a0d1a2d83811fde1f5bbb811213fbe3544f1c63f,0.2,1639342363,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792630,0x0000000000000000000000000000000000000000,0x83257179db18540f3002542e0e45978bfe72e7c8,5281,0xf2c3beee100ed3771fcd90d5a0d1a2d83811fde1f5bbb811213fbe3544f1c63f,0.2,1639342363,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792579,0x477a85249125cdf871225cf9b2cda745882288b0,0xd146a4f01517e3b8eda88e277ae5e9a1469bd2cc,5255,0xf5be2f4ba939e7fb625ec72d13f5e3cbd95e9422fb99641499d118403e941f4c,0,1639341740,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792579,0x321dca373c00f0f30afeaa82b45f75ff685978c3,0xdd97f684b743295d4fa388ab71ce65e0da46fb72,5171,0x032e93cdc53bded39101918e5c63c353cb2a7adcaf4cb1ed56b7779f2f47b186,0,1639341740,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792529,0xdb508c4ff3dfa1c7ddd30c0ce3a62092f2f3e445,0xbc50eb3b6c11f05a20353c1098b49cd137788d40,1496,0xc4cba556b213dbe03efd4df4b54372a3754371f5ab87235e5f68ddf1046375d1,0.17,1639341071,708.44,0.17,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792529,0xaff5fe69f2d1e71be5e07299232397127072cf35,0xf266ec07bced0c64514dc0f7ab1bbc56dc2aff9c,5159,0xca23b04bf1f8491387a88f49be32ba69149c1d9f1a817d85db931a2844c4b927,1.0626,1639341071,740.11,0.1776,Opensea (through GenieSwap),1
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792529,0x78df8135a51f074280d96b91f8c006f6ae5a0109,0xf266ec07bced0c64514dc0f7ab1bbc56dc2aff9c,5105,0xca23b04bf1f8491387a88f49be32ba69149c1d9f1a817d85db931a2844c4b927,1.0626,1639341071,741.78,0.178,Opensea (through GenieSwap),2
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792529,0x8684e8c7d4ae0256372e5fd727ca2bd3f4ac95b2,0xf266ec07bced0c64514dc0f7ab1bbc56dc2aff9c,4396,0xca23b04bf1f8491387a88f49be32ba69149c1d9f1a817d85db931a2844c4b927,1.0626,1639341071,745.95,0.179,Opensea (through GenieSwap),3
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792529,0x9a23d93d626598edf449f36385ac3feb52dc94b5,0xf266ec07bced0c64514dc0f7ab1bbc56dc2aff9c,1656,0xca23b04bf1f8491387a88f49be32ba69149c1d9f1a817d85db931a2844c4b927,1.0626,1639341071,745.95,0.179,Opensea (through GenieSwap),4
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792529,0x9a23d93d626598edf449f36385ac3feb52dc94b5,0xf266ec07bced0c64514dc0f7ab1bbc56dc2aff9c,1657,0xca23b04bf1f8491387a88f49be32ba69149c1d9f1a817d85db931a2844c4b927,1.0626,1639341071,745.95,0.179,Opensea (through GenieSwap),5
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792709,0x24ae48281ffb4f6f3957733c6f1fde2e7ab93ec9,0xf219e5301f235d8a65250859e3fe48175c15fb8a,2203,0xadb11b6fe12b73ef49b8a4aac1e8ce0860b5b9cc1dca9accb1fa8d3b1d9208fa,0.177,1639343391,733.85,0.177,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792580,0x23e898da5f9b3ec081a45d0504768f3499840535,0x121345a9286d4963a59d834c60b7308591530672,3220,0xf21999f6ccf4bcdf7ce8d745422ef473cba69f69c5540601581c8acd3d4f604e,0.174,1639341744,725.11,0.174,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792688,0xc2978441f46a76c60e0cd59e986498b75a40572d,0x2d3f495f0e2370a68b60cebb4406cbc0be3d2145,2552,0x7b018b99f9f0f329a76b621de5ad5ec363bdd6f908d14da2e565bf6c9a7e5b5b,0.18,1639343129,746.29,0.18,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792711,0x29d1f5cb62869d4750101f539d920d1e0be62436,0xf219e5301f235d8a65250859e3fe48175c15fb8a,4944,0xebea20b39959ca8878765a57a27397bb833ee3c578b984ee699712920c524e87,0.178,1639343417,738,0.178,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792533,0x6e98eb5febbf9bb63a547f691ccc83b8d5051284,0x4dd895c793624124ca278bc7212ec7f1cf5d0327,5208,0x81d5375a096c4a62655a6b70da91e3fcf4a169e8797881976b1f36103d9c18d3,0,1639341125,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792533,0x3d844c391e7806157ae42d653d1d7e2919926a61,0xd1ca63e92fc083ab3016989fc7ea3e2fab928db9,694,0x7086757acb966b6e7bc17c650e436234344cd18dbfeab8579a37f2bbc6881243,0.185,1639341125,770.95,0.185,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792635,0x458aa8eb5d673d6f9bae964af2c25d64f4a19878,0x54489a3d085b1501573651095a3138f8cf207730,5262,0x3abcbd5f8344bf87ba6587f63d3535f4df49992c152503bcd7aae3a89a73b82a,0.175,1639342411,726.92,0.175,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792636,0x0000000000000000000000000000000000000000,0xbcef951c175ae6a1fa73ea449eafed42aa9e52d6,5282,0x3ad23793c3dd70d294f03bcfd12627862f9e85405458760d42e9813389757b85,0.1,1639342413,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792639,0x750a61d71277431cd4a9c2e137600ea7a1f91398,0x44cd6c3550fa47db39fbf8c7d3708833516500ba,5112,0x18b1c4b6d6c722f28aaadfaebb98f084d2559de70c2fb6b122f2c42141c61a18,0.174,1639342434,722.76,0.174,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792585,0x321dca373c00f0f30afeaa82b45f75ff685978c3,0xdd97f684b743295d4fa388ab71ce65e0da46fb72,5170,0xc066ec149f0d92ae44180f79fa097c644aebed9c4a22167a50448990bf58e9f7,0,1639341853,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792585,0x07b636e3c5950e5ae4d0bde7cb6b682e5c659be4,0xbb739ee04f0cc2db984cd47ead003f4c183cf19a,1800,0x60630398d1b1291b45cb83b587f49ab2a8dd583a526b0a129e9c17c928a659f3,0.174,1639341853,725.11,0.174,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792585,0xa7536d6e455469987fd8d4216a8900c3d7a9228c,0xb176838fabc11db9158e8474a21061472216eee8,2916,0x1759bf92a77ef627d386dcd203a71389884f559bc178799b6f3c53262956583c,0.175,1639341853,729.28,0.175,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792642,0x07b636e3c5950e5ae4d0bde7cb6b682e5c659be4,0x54489a3d085b1501573651095a3138f8cf207730,3894,0x53c0693c19479721d1063c3b2d5f42018b251b602ab4c0f76aaf4bb93342a4fa,0.174,1639342490,722.76,0.174,Opensea,0
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792642,0x0000000000000000000000000000000000000000,0xb3b55f1fc2a1233eed78027758e4f8bf00bc4bfe,5283,0x77501f882d34e7285de849f4309314b0863809605ddd123299e05420fa986af5,0.2,1639342490,,,,
0x0aa7420c43b8c1a7b165d216948870c8ecfe1ee1,13792642,0x0000000000000000000000000000000000000000,0xb3b55f1fc2a1233eed78027758e4f8bf00bc4bfe,5284,0x77501f882d34e7285de849f4309314b0863809605ddd123299e05420fa986af5,0.2,1639342490,,,,
